MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal,Pitch,Weather,ChinoQuote,BetQuote
693040,750,KWT L,Kuwait League,K,72,Kuwait,K,8017,Al Naser SC,8008,Kazma SC,+0.25,2.75,9,+0.75,0.5,4,1,1,4,2,1,1,0,0,80,98,50,66,5,3,4,6,0,0,84,1,Pitch: GOOD,Weather: GOOD,1.1,0
692766,1098,BHR K Cup,Bahrain Kings Cup,B,80,Bahrain,B,8971,Bahrain SC,2783,Al-Muharraq,+1.25,3.0,9,+0.5,1.25,4.5,0,0,3,3,0,1,0,0,58,87,45,67,1,3,1,2,0,0,58,0,Pitch: GOOD,Weather: GOOD,1.9,0
693423,2795,WCQ,Womens Euro Championships Qual,W,4,International,G,12274,Azerbaijan Women,4974,Czech Republic Women,+2.75,4.25,10.5,+1.25,1.75,5,0,1,0,7,0,0,0,0,32,86,7,64,0,7,1,15,27,73,55,1,Pitch: GOOD,Weather: GOOD,1.2,0
693080,1001,CIV PD,Ivory Coast Premier Division,I,152,Ivory Coast,K,23822,San-Pédro FC,37224,SOL FC Abobo,-0.5,2.25,8.5,-0.25,0.75,4,1,0,1,2,0,0,0,0,68,59,27,16,2,0,1,2,0,0,44,1,Pitch: GOOD,Weather: GOOD,0,0
693170,429,OMN Su Cup,Oman Sultans Cup,O,33,Oman,A,24159,Al-Nahda,8707,Al-Suwaiq,-0.25,1.75,,-0.25,0.75,,1,0,3,1,0,0,0,0,30,25,26,17,2,1,0,2,0,0,37,1,Pitch: GOOD,Weather: GOOD,0.7,0
692047,128,UEFA EL,UEFA Europa League,U,4,International,G,2653,FC Astana,1044,AZ,+1.0,2.75,10,+0.5,1.25,4.5,0,0,0,2,0,0,0,0,27,37,7,16,0,4,1,3,39,61,27,0,Pitch: GOOD,Weather: GOOD,2,1.0
693161,492,BRA,Brazilian Matches,B,47,Brazil,B,38235,IQSL Brasileirinho,37183,Paraiba do Sul,-0.25,3.0,10.5,-0.25,1.25,5,1,0,5,0,0,0,0,0,19,16,11,14,1,0,0,2,0,0,17,1,Pitch: GOOD,Weather: GOOD,1.6,0
693047,2795,WCQ,Womens Euro Championships Qual,W,4,International,G,5007,Malta Women,4988,Israel Women,+1.75,2.5,9.5,+0.5,1.0,4.5,0,0,0,2,0,0,0,0,11,31,4,25,0,1,2,2,33,67,16,0,Pitch: GOOD,Weather: GOOD,1.1,0
693211,2795,WCQ,Womens Euro Championships Qual,W,4,International,G,5001,Finland Women,10865,Cyprus Women,-5.75,6.5,10.5,-2.5,2.75,5,0,0,2,0,0,0,0,0,22,9,17,0,3,1,2,0,66,34,15,0,Pitch: GOOD,Weather: GOOD,1.4,0
693102,322,DNK U19,Denmark U19 League,D,15,Denmark,D,10077,AaB U19,9884,FC Nordsjaelland U19,+0.25,3.75,10.5,0.0,1.5,5,0,0,0,0,0,0,0,0,10,14,4,10,0,0,1,0,33,67,15,0,Pitch: GOOD,Weather: GOOD,2.2,0
693093,246,INTERNATIONAL,International Match,I,4,International,G,3993,Egypt,14138,Liberia,-1.5,2.5,8.5,-0.5,1.0,4,0,0,0,0,0,0,0,0,15,7,10,8,1,0,3,0,72,28,11,0,Pitch: GOOD,Weather: GOOD,1.2,0
693053,30,QAT SL,Qatar Stars League,Q,34,Qatar,K,6583,Al-Arabi Doha,1213,Al-Sailiya SC,-0.25,3.0,9,0.0,1.25,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NS,0,Pitch: GOOD,Weather: GOOD,1.2,0
