MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
687531,1812,BEL FDB,Belgium First Division B,B,38,Belgium,B,1118,OH Leuven,7801,Union Saint Gilloise,+0.25,2.5,10,0.0,1.0,5,0,0,0,8,1,0,0,0,38,56,17,39,0,2,0,3,38,62,53,0
686918,39,FRA L1,France Ligue 1,F,31,France,F,1113,Dijon,5924,PSG,+1.75,3.25,11,+0.75,1.5,5,2,1,2,5,3,1,0,0,87,113,28,54,6,4,3,16,35,65,87,1
687513,751,WAL PL,Wales Premier League,W,41,Welsh,W,6280,Bala Town,7999,Newtown,-0.75,3.0,9,-0.25,1.25,4,4,0,8,6,3,1,1,1,112,89,74,36,8,5,8,3,0,0,91,1
686722,42,UK Champ,England Championship,E,14,England,Y,6107,Barnsley,5975,Bristol City,0.0,2.75,10.5,0.0,1.25,5,1,2,8,6,2,0,0,0,99,106,51,55,4,3,17,6,44,56,88,1
687514,751,WAL PL,Wales Premier League,W,41,Welsh,W,17421,Cardiff Met Uni,7546,Penybont,-1.0,3.0,9,-0.25,1.25,4,1,0,4,0,3,2,0,0,116,112,65,64,3,0,8,3,0,0,88,1
689376,892,IRL PO,League Of Ireland Play-Offs,L,100,Ireland,A,2136,Finn Harps,4375,Drogheda United,-0.25,2.25,,0.0,1.0,,1,0,6,1,1,1,0,0,61,64,33,24,2,3,3,2,61,39,89,1
689353,2366,Ireland LSL,Republic of Ireland Leinster Senior League,R,100,Ireland,A,28010,Liffey Wanderers,29521,Ballymun United,-1.75,3.25,,-0.75,1.25,,1,2,8,4,3,5,0,0,128,109,81,57,3,2,12,11,0,0,92,1
689490,2373,SPN YL,Spain Youth League,S,23,Spain,X,28750,SD San Jose U19,28839,CD Sobradillo U19,-0.75,3.25,8.5,-0.25,1.25,4,0,0,6,1,0,3,0,0,87,84,74,65,3,4,8,7,56,44,77,0
687515,751,WAL PL,Wales Premier League,W,41,Welsh,W,5636,Connahs Quay Nomads,5404,T.N.S.,+0.5,3.25,9.5,+0.25,1.25,4.5,0,1,4,5,3,1,0,0,50,74,37,54,1,4,2,3,33,67,78,1
689496,618,PAN LPF,Panama - LPF,P,134,Panama,B,31731,CD Universitario,27770,CA Independiente de la Chorrera,0.0,2.25,9,0.0,1.0,4,1,0,4,6,2,1,0,0,80,109,58,83,5,1,2,6,0,0,78,1
687536,155,ESP S,Spain Segunda,S,23,Spain,X,9830,Oviedo,6654,Almeria,-0.25,2.25,9,0.0,0.75,4.5,0,0,5,3,1,2,0,0,110,90,69,46,0,1,10,3,58,42,78,0
689350,2366,Ireland LSL,Republic of Ireland Leinster Senior League,R,100,Ireland,A,23058,Swords Celtic FC,28072,Kilnamanagh AFC,+0.75,3.25,,+0.25,1.25,,2,3,11,6,3,4,0,0,77,76,59,41,2,4,4,1,51,49,78,1
687547,157,ITA SB,Italy Serie B,I,22,Italy,Y,393,Spezia,6566,Chievo,-0.25,2.0,10,0.0,0.75,4.5,0,0,4,5,2,0,0,0,75,84,24,39,0,6,5,12,44,56,71,0
689413,1099,ECU RL,Ecuador Reserve League,E,115,Ecuador,E,30032,Tecnico Universitario Reserves,14709,SD Aucas Reserves,0.0,2.75,8,0.0,1.25,3.5,0,0,2,3,2,2,0,0,49,63,24,27,2,0,3,4,0,0,68,0
689355,2366,Ireland LSL,Republic of Ireland Leinster Senior League,R,100,Ireland,A,22975,Newbridge Town FC,38262,Bangor GG FC,+0.75,4.0,,+0.25,2.0,,2,4,1,5,1,3,0,0,51,60,22,35,3,6,3,3,0,0,78,1
689494,431,PRT CN,Portugal Campeonato Nacional,P,45,Portugal,P,22900,Felgueiras 1932,13709,SC Vila Real,-1.25,3.0,10,-0.5,1.25,4.5,2,0,2,5,0,0,0,0,48,42,19,19,4,2,5,1,47,53,48,1
689091,534,PER PD,Peru Primera Division,P,117,Peru,M,4823,UTC Cajamarca,4599,Unión Comercio,-0.75,2.5,10,-0.25,1.0,4.5,0,1,5,2,3,2,0,0,68,45,57,28,2,2,6,3,48,52,45,1
689069,397,PRY DP,Paraguay Division Profesional,P,114,Paraguay,B,4574,Cerro Porteno,3236,Sol de America,-0.75,2.75,9.5,-0.25,1.0,4.5,1,0,1,0,0,2,0,0,31,31,25,18,3,0,2,1,55,45,34,1
689585,1607,SPN WS,Spain Women Segunda,S,23,Spain,X,16674,CD Femarguin Women,18498,Granada Women,+0.5,3.25,,+0.25,1.25,,0,2,1,1,0,0,0,0,30,26,24,16,1,2,5,2,53,47,34,1
689707,2644,SAL LF,El Salvador Liga Feminina,E,122,El Salvador,S,35555,CD San Miguel Women,38579,CD El Vencedor Women,-1.75,3.75,,-0.75,1.5,,0,0,0,0,0,0,0,0,42,20,14,2,1,0,1,0,0,0,11,0
