MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal
688381,2408,Jpan L1W,Japan L1 League Women,J,2,Japan,R,11944,Nojima Women,5279,Albirex Niigata Women,0.0,2.0,8.5,0.0,0.75,4,0,0,1,4,0,0,0,0,79,101,43,75,1,2,4,8,40,60,85,0
688383,756,ITA P Cup,Italy Primavera Cup,I,22,Italy,Y,4591,Lecce U19,11700,Benevento U19,-0.75,3.0,10.5,-0.25,1.25,5,0,1,6,4,1,1,0,0,64,65,35,35,4,7,11,5,49,51,83,1
688710,236,DZA YL,Algeria Youth League,A,111,Algeria,A,8882,NA Hussein Dey U21,11019,JS Saoura U21,+0.75,3.0,,+0.25,1.25,,0,1,2,6,0,0,0,0,77,76,24,31,2,4,4,6,0,0,52,1
688462,22,TUR Cup,Turkey Cup,T,26,Turkey,T,37233,Vanspor,15543,Sancaktepe Belediye,-0.25,2.5,,0.0,1.0,,1,0,0,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,55,1
688459,22,TUR Cup,Turkey Cup,T,26,Turkey,T,17002,Kastamonuspor,18383,24 Erzincanspor,-1.0,2.75,12,-0.5,1.25,,0,0,3,4,3,1,0,0,0,0,28,29,0,0,0,0,0,0,53,0
688382,2408,Jpan L1W,Japan L1 League Women,J,2,Japan,R,9027,Parceiro Nagano Women,5310,Vegalta Sendai Women,-0.25,2.25,8,0.0,0.75,3.5,0,1,0,5,1,0,0,0,70,89,23,59,2,2,2,8,0,0,56,1
688460,22,TUR Cup,Turkey Cup,T,26,Turkey,T,9628,Gumushanespor,8201,Samsunspor,+0.25,2.5,6.5,0.0,1.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,36,64,53,1
688663,1205,POL Cup W,Poland Cup Women,P,20,Poland,B,37798,Marcus Gdynia Women,38541,Wloclawek Women,+0.75,4.0,,+0.25,1.5,,1,0,4,1,1,0,0,0,37,50,24,25,3,6,3,7,0,0,54,1
688413,390,KAZ PL,Kazakhstan Premier League,K,62,Kazakhstan,H,2652,Kaisar Kyzylorda,3727,Tobol Kostanay,+0.25,2.0,9,+0.25,0.75,4,1,0,4,0,0,1,0,0,38,35,25,20,2,2,7,4,0,0,52,1
688384,756,ITA P Cup,Italy Primavera Cup,I,22,Italy,Y,4566,Cremonese U19,11667,Salernitana U19,-0.5,2.75,10,-0.25,1.0,4.5,1,1,3,1,0,0,0,0,47,92,32,62,1,4,4,5,37,63,55,1
685700,1275,JPN J2L,Japan J2-League,J,2,Japan,R,9330,Kagoshima United,1334,FC Gifu,-0.5,2.25,9.5,-0.25,1.0,4.5,0,0,5,3,1,1,0,0,53,39,51,35,1,3,5,2,68,32,52,0
688602,1197,ZMB SL,Zambia Super League,Z,179,Zambia,Z,15577,Forest Rangers,16665,Power Dynamos,-0.25,2.25,,0.0,0.75,,0,0,4,2,2,0,1,0,55,54,55,43,0,4,5,4,57,43,48,0
688662,1205,POL Cup W,Poland Cup Women,P,20,Poland,B,38539,Resovia Rzeszow II Women,38540,UKS Staszkowka Jelna Women,+2.5,4.0,,+1.0,1.75,,0,1,1,7,1,0,0,0,83,61,38,40,0,8,4,7,0,0,52,1
688871,916,SER U19,Serbia U19 League,S,59,Serbia,S,4742,Red Star Belgrade U19,10835,FK Brodarac U19,-0.25,3.0,,0.0,1.25,,0,1,2,1,1,0,0,0,54,49,48,41,3,1,2,2,50,50,45,1
688463,22,TUR Cup,Turkey Cup,T,26,Turkey,T,26667,Payasspor,37557,Manisa FK,+1.0,3.25,,+0.5,1.25,,1,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41,1
688450,1855,IND MPL,India Mizoram Premier League,I,17,India,Y,12765,Aizawl FC,31994,Electric Veng FC,+0.25,2.5,,0.0,1.0,,0,0,2,2,0,0,0,0,35,25,23,23,2,0,7,2,0,0,40,0
688712,22,TUR Cup,Turkey Cup,T,26,Turkey,T,9203,Keciorengucu,33187,Siirt Il Ozel Idaresi Spor,-1.75,3.5,,-0.25,1.0,,1,1,2,1,1,0,0,0,73,39,28,15,1,1,2,1,69,31,40,1
688608,257,HKG RD,Hong Kong Reserve Division,H,77,Hong Kong,Z,28627,Lee Man FC Reserves,9470,Eastern Salon Reserves,+1.0,4.0,9,+0.5,1.5,4,0,2,0,1,0,0,0,0,38,29,18,20,1,4,2,2,50,50,36,1
688464,22,TUR Cup,Turkey Cup,T,26,Turkey,T,24347,Kemerspor 2003,1128,Kasimpasa,+2.25,3.75,,+1.0,1.5,,1,2,1,1,1,0,0,0,24,30,20,15,1,3,3,0,39,61,25,1
688543,2473,Ukraine D1W,Ukraine Division 1 Women,U,21,Ukraine,W,32344,Rodina-Licey Kostopil Women,32563,Voskhod Stara Mayachka Women,+2.5,4.0,,+1.0,1.5,,0,0,0,0,0,0,0,0,18,19,4,14,0,0,0,2,0,0,13,0
