MatchID,LeagueID,LeagueName,LeagueFullname,LeagueAbbreviation,CountryID,CountryName,CountryAbbreviation,HomeTeamID,HomeTeamName,GuestTeamID,GuestTeamName,HostHandicapFT,ExpectedGoalsFT,BettingCuoteFT,HostHandicapHT,ExpectedGoalsHT,BettingCuoteHT,HostGoalsFT,GuestGoalsFT,HostCornersFT,GuestCornersFT,HostYCFT,GuestYCFT,HostRCFT,GuestRCFT,HostAttacksFT,GuestAttacksFT,HostDAttacksFT,GuestDAttacksFT,HostonTargetFT,GuestonTargetFT,HostoffTargetFT,GuestoffTargetFT,HostPossessionFT,GuestPossessionFT,Status,Goal,Pitch,Weather
697620,246,INTERNATIONAL,International Match,I,4,International,G,871,Saudi Arabia,3847,Paraguay,+0.75,2.25,8.5,+0.25,1.0,4,0,0,4,7,1,3,0,0,98,126,55,62,5,4,6,11,44,56,91,0,Pitch: GOOD,Weather: GOOD
698182,2641,Qatar SDC,Qatar Second Division Cup,Q,34,Qatar,K,10717,Al Markhiya,33107,Al Bidda SC,-0.75,3.0,,-0.25,1.25,,2,2,0,4,3,0,0,0,61,104,24,46,5,4,0,1,47,53,75,1,Pitch: GOOD,Weather: GOOD
697997,246,INTERNATIONAL,International Match,I,4,International,G,2124,Montenegro,1605,Belarus,-0.25,2.0,9,0.0,0.75,4,2,0,4,1,1,1,0,0,76,76,36,47,5,1,6,3,52,48,64,1,Pitch: GOOD,Weather: GOOD
697618,246,INTERNATIONAL,International Match,I,4,International,G,4078,Croatia,3848,Georgia,-1.25,2.75,9,-0.5,1.0,4.5,2,1,6,1,0,0,0,0,72,52,67,28,5,2,7,3,55,45,63,1,Pitch: GOOD,Weather: GOOD
697938,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,4022,Andorra U21,8388,Turkey U21,+1.75,3.0,10,+1.25,0.75,4.5,1,0,3,5,2,3,0,0,41,74,31,43,3,1,2,2,28,72,64,1,Pitch: GOOD,Weather: GOOD
697968,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,1979,Denmark U21,8387,Malta U21,-3.75,4.25,10.5,-1.5,1.75,5,4,1,1,0,0,1,0,0,77,42,41,12,6,1,3,1,67,33,63,1,Pitch: GOOD,Weather: GOOD
697905,1064,AS WCup Q,Asia - World Cup Qualifying,A,4,International,G,893,Lebanon,10291,North Korea,-0.75,2.25,9,-0.25,0.75,4.5,0,0,2,2,1,1,0,0,90,46,60,43,1,1,2,4,64,36,63,0,Pitch: GOOD,Weather: GOOD
697969,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,8599,N Ireland U21,7593,Romania U21,+0.75,2.5,10,+0.25,1.0,4.5,0,0,1,3,1,1,0,0,62,76,12,35,1,1,0,5,46,54,HT,0,Pitch: GOOD,Weather: GOOD
697987,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,3589,Israel U21,8375,Spain U21,+1.25,2.75,10,+0.5,1.25,4.5,0,0,1,3,0,2,0,0,32,68,14,39,0,1,0,2,32,68,HT,0,Pitch: GOOD,Weather: GOOD
698041,308,INT U21,U21 International,U,4,International,G,3683,Holland U21,8386,England U21,0.0,2.5,10,0.0,1.0,4.5,1,0,4,0,0,0,0,0,55,62,39,35,5,1,4,2,56,44,HT,1,Pitch: GOOD,Weather: GOOD
697949,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,4264,Norway U21,2107,Portugal U21,+0.75,2.75,10,+0.25,1.0,4.5,0,2,2,0,1,1,0,1,45,37,38,14,2,3,3,1,58,42,HT,1,Pitch: GOOD,Weather: GOOD
697962,2836,U23 Africa C,U23 Africa Cup of Nations,U,4,International,G,8334,Egypt U23,12319,South Africa U23,-1.0,2.25,9.5,-0.5,1.0,4.5,0,0,2,0,0,0,0,0,25,19,21,16,1,1,0,1,48,52,20,0,Pitch: GOOD,Weather: GOOD
698081,2388,Brazil CNU20,Brazil Copa Nordeste U20,B,47,Brazil,B,16742,Santa Cruz FC U20,38724,Porto PE U20,-0.25,2.5,10,0.0,1.0,4.5,0,0,2,2,0,0,0,0,35,33,16,24,0,1,1,3,56,44,20,0,Pitch: GOOD,Weather: GOOD
698068,2388,Brazil CNU20,Brazil Copa Nordeste U20,B,47,Brazil,B,9236,Sport Recife U20,18866,Botafogo PB U20,-1.5,3.0,11,-0.75,1.25,5,1,0,1,3,0,0,0,0,23,22,7,11,2,0,0,1,41,59,19,1,Pitch: GOOD,Weather: GOOD
697940,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,3850,Serbia U21,3588,Russia U21,+0.25,2.25,10,0.0,0.75,4.5,0,1,1,1,0,1,0,0,34,16,15,8,0,1,0,0,77,23,18,1,Pitch: GOOD,Weather: GOOD
698046,2839,Asian HGL,Asian Handicap & Goal Line,A,4,International,G,5640,FSV Frankfurt,7029,Darmstadt,+1.25,3.25,8.5,+0.5,1.25,4,1,0,2,0,0,0,0,0,24,25,17,19,3,2,0,0,49,51,17,1,Pitch: GOOD,Weather: GOOD
697929,1372,EU Q U21,European U21 Championship Qual,E,4,International,G,1980,Switzerland U21,8376,France U21,+0.75,2.75,10,+0.25,1.0,4.5,0,0,0,1,0,0,0,0,8,18,10,21,0,0,0,1,36,64,17,0,Pitch: GOOD,Weather: GOOD
698022,246,INTERNATIONAL,International Match,I,4,International,G,17392,Morocco A,19215,Guinea A,-1.25,2.5,9,-0.5,1.0,4,2,0,1,0,0,0,0,0,9,8,5,5,3,0,1,0,70,30,13,1,Pitch: GOOD,Weather: GOOD
